Meta_ID,GPH_code,GPH_name,start_year,sovereign_GPH_code,sequence_number
LEAG_1920_1,0,League of Nations,1920,,1
UNIT_1945_2,1,United Nations,1945,,2
UNIT_1816_3,2,United States of America,1816,,3
ALAS_1816_4,3,Alaska,1816,RUSS_1941_560,4
ALAS_1867_5,3,Alaska,1867,UNIT_1816_3,5
ALAS_1959_6,3,Alaska,1959,UNIT_1816_3,6
HAWA_1816_7,4,Hawaii (Sandwich Is.),1816,,7
HAWA_1898_8,4,Hawaii (Sandwich Is.),1898,UNIT_1816_3,8
HAWA_1960_9,4,Hawaii (Sandwich Is.),1960,UNIT_1816_3,9
VIRG_1816_10,5,Virgin Islands (Danish West Indies),1816,DENM_1945_616,10
VIRG_1917_11,5,Virgin Islands (Danish West Indies),1917,UNIT_1816_3,11
PUER_1816_12,6,Puerto Rico,1816,VICE_1816_1550,12
PUER_1821_13,6,Puerto Rico,1821,SPAI_1816_238,13
PUER_1898_14,6,Puerto Rico,1898,UNIT_1816_3,14
PUER_1952_15,6,Puerto Rico,1952,UNIT_1816_3,15
TEXA_1816_16,7,Texas,1816,VICE_1816_1550,16
TEXA_1821_17,7,Texas,1821,MEXI_1863_127,17
TEXA_1836_18,7,Texas,1836,,18
TEXA_1845_19,7,Texas,1845,UNIT_1816_3,19
TEXA_1861_20,7,Texas,1861,CONF_1877_1397,20
TEXA_1865_21,7,Texas,1865,UNIT_1816_3,21
GREE_1816_22,10,Greenland,1816,DENM_1945_616,22
GREE_1941_23,10,Greenland,1941,UNIT_1816_3,23
GREE_1953_24,10,Greenland,1953,DENM_1945_616,24
GREE_1979_25,10,Greenland,1979,DENM_1945_616,25
FAER_1816_26,11,Faeroe Is.,1816,DENM_1945_616,26
FAER_1940_27,11,Faeroe Is.,1940,UNIT_1816_205,27
FAER_1947_28,11,Faeroe Is.,1947,DENM_1945_616,28
CANA_1841_29,20,Canada (Province of Canada),1841,UNIT_1816_205,29
CANA_1920_30,20,Canada (Province of Canada),1920,,30
NEWF_1816_31,21,Newfoundland and Labrador (Newfoundland),1816,UNIT_1816_205,31
NEWF_1949_32,21,Newfoundland and Labrador (Newfoundland),1949,CANA_1920_30,32
BERM_1816_33,30,Bermuda,1816,UNIT_1816_205,33
BAHA_1816_34,31,Bahamas,1816,UNIT_1816_205,34
BAHA_1973_35,31,Bahamas,1973,,35
CUBA_1816_36,40,Cuba,1816,VICE_1816_1550,36
CUBA_1821_37,40,Cuba,1821,SPAI_1816_238,37
CUBA_1898_38,40,Cuba,1898,UNIT_1816_3,38
CUBA_1902_39,40,Cuba,1902,,39
CUBA_1906_40,40,Cuba,1906,UNIT_1816_3,40
CUBA_1909_41,40,Cuba,1909,,41
HAIT_1816_42,41,Haiti,1816,,42
HAIT_1859_43,41,Haiti,1859,,43
HAIT_1915_44,41,Haiti,1915,UNIT_1816_3,44
HAIT_1934_45,41,Haiti,1934,,45
DOMI_1816_46,42,Dominican Republic (Santo Domingo),1816,VICE_1816_1550,46
DOMI_1822_47,42,Dominican Republic (Santo Domingo),1822,HAIT_1934_45,47
DOMI_1844_48,42,Dominican Republic (Santo Domingo),1844,,48
DOMI_1861_49,42,Dominican Republic (Santo Domingo),1861,SPAI_1816_238,49
DOMI_1865_50,42,Dominican Republic (Santo Domingo),1865,,50
DOMI_1916_51,42,Dominican Republic (Santo Domingo),1916,UNIT_1816_3,51
DOMI_1924_52,42,Dominican Republic (Santo Domingo),1924,,52
DOMI_1965_53,42,Dominican Republic (Santo Domingo),1965,UNIT_1816_3,53
WEST_1958_54,50,West Indies Federation,1958,UNIT_1816_205,54
JAMA_1816_55,51,Jamaica,1816,UNIT_1816_205,55
JAMA_1958_56,51,Jamaica,1958,WEST_1958_54,56
JAMA_1962_57,51,Jamaica,1962,,57
TRIN_1889_58,52,Trinidad and Tobago,1889,UNIT_1816_205,58
TRIN_1958_59,52,Trinidad and Tobago,1958,WEST_1958_54,59
TRIN_1962_60,52,Trinidad and Tobago,1962,,60
BARB_1816_61,53,Barbados,1816,UNIT_1816_205,61
BARB_1833_62,53,Barbados,1833,WIND_1833_1514,62
BARB_1885_63,53,Barbados,1885,UNIT_1816_205,63
BARB_1958_64,53,Barbados,1958,WEST_1958_54,64
BARB_1962_65,53,Barbados,1962,UNIT_1816_205,65
BARB_1966_66,53,Barbados,1966,,66
DOMI_1816_67,54,Dominica,1816,UNIT_1816_205,67
DOMI_1871_68,54,Dominica,1871,LEEW_1833_1529,68
DOMI_1940_69,54,Dominica,1940,WIND_1833_1514,69
DOMI_1958_70,54,Dominica,1958,WEST_1958_54,70
DOMI_1962_71,54,Dominica,1962,UNIT_1816_205,71
DOMI_1967_72,54,Dominica,1967,UNIT_1816_205,72
DOMI_1978_73,54,Dominica,1978,,73
GREN_1816_74,55,Grenada,1816,UNIT_1816_205,74
GREN_1833_75,55,Grenada,1833,WIND_1833_1514,75
GREN_1958_76,55,Grenada,1958,WEST_1958_54,76
GREN_1962_77,55,Grenada,1962,UNIT_1816_205,77
GREN_1967_78,55,Grenada,1967,UNIT_1816_205,78
GREN_1983_79,55,Grenada,1983,UNIT_1816_3,79
GREN_1974_80,55,Grenada,1974,,80
STLU_1816_81,56,St. Lucia,1816,UNIT_1816_205,81
STLU_1833_82,56,St. Lucia,1833,WIND_1833_1514,82
STLU_1958_83,56,St. Lucia,1958,WEST_1958_54,83
