country;paged_country_id;vdem_country_id;cow_country_id;cab_id;cabname;electdate;date_in;date_out;cab_duration_days;form_duration;form_duration_alt;cab_num_parties;cab_coalition;cab_majority;cab_surplus;govtype;seats;pm_party;cab_seattotal;cab_seatshare;cab_party_1;cab_party_2;cab_party_3;cab_party_4;cab_party_5;cab_party_6;cab_party_7;cab_party_8;cab_party_9;cab_party_parlgov_id_1;cab_party_parlgov_id_2;cab_party_parlgov_id_3;cab_party_parlgov_id_4;cab_party_parlgov_id_5;cab_party_parlgov_id_6;cab_party_parlgov_id_7;cab_party_parlgov_id_8;cab_party_parlgov_id_9;cab_party_seats_1;cab_party_seats_2;cab_party_seats_3;cab_party_seats_4;cab_party_seats_5;cab_party_seats_6;cab_party_seats_7;cab_party_seats_8;cab_party_seats_9
Austria;1;144;305;1H1;Renner II;1919-02-16;1919-03-15;1919-10-17;216;27;27;2;1;1;0;3;170;SPO;141;0.8294117647058824;SPO;OVP;;;;;;;;973;1013;;;;;;;;72;69;;;;;;;
Austria;1;144;305;1H2;Renner III;1919-02-16;1919-10-17;1920-06-11;238;0;0;2;1;1;0;3;170;SPO;141;0.8294117647058824;SPO;OVP;;;;;;;;973;1013;;;;;;;;72;69;;;;;;;
Austria;1;144;305;1H3;Mayr I;1919-02-16;1920-07-07;1920-10-17;102;26;26;3;1;1;1;4;170;OVP;141;0.8294117647058824;SPO;OVP;GDVP;;;;;;;973;1013;2674;;;;;;;72;69;0;;;;;;
Austria;1;144;305;1H4;Mayr II;1920-10-17;1920-11-20;1921-06-01;193;34;34;1;0;0;0;1;183;OVP;85;0.4644808743169399;OVP;;;;;;;;;1013;;;;;;;;;85;;;;;;;;
Austria;1;144;305;1H5;Schober I;1920-10-17;1921-06-21;1922-01-26;219;20;20;3;1;1;0;3;183;none;106;0.5792349726775956;OVP;GDVP;;;;;;;;1013;2674;;;;;;;;85;21;;;;;;;
Austria;1;144;305;1H6;Schober II;1920-10-17;1922-01-27;1922-05-30;123;1;1;2;0;0;0;1;183;none;85;0.4644808743169399;OVP;;;;;;;;;1013;;;;;;;;;85;;;;;;;;
Austria;1;144;305;1H7;Seipel I;1920-10-17;1922-05-31;1923-10-21;508;1;1;2;1;1;0;3;183;OVP;106;0.5792349726775956;OVP;GDVP;;;;;;;;1013;2674;;;;;;;;85;21;;;;;;;
Austria;1;144;305;1H8;Seipel II;1923-10-21;1923-10-21;1924-11-08;384;0;0;2;1;1;0;3;183;OVP;106;0.5792349726775956;OVP;GDVP;;;;;;;;1013;2674;;;;;;;;85;21;;;;;;;
Austria;1;144;305;1H9;Ramek I;1923-10-21;1924-11-20;1926-01-15;421;12;12;2;1;1;0;3;165;OVP;92;0.5575757575757576;OVP;GDVP;;;;;;;;1013;2674;;;;;;;;82;10;;;;;;;
Austria;1;144;305;1H10;Ramek II;1923-10-21;1926-01-15;1926-10-15;273;0;0;2;1;1;0;3;165;OVP;92;0.5575757575757576;OVP;GDVP;;;;;;;;1013;2674;;;;;;;;82;10;;;;;;;
