ccode,MinisterPersonalID,country_name,country_name2,foreignminister,fminday,fminmonth,fminyear,fmoutday,fmoutmonth,fmoutyear,portfolio_name,post_name,acting,Term_no,repeated_terms,HeadofGovernment,sex,birthyear,deadyear,birthplace,marital,children,nr_children,fambgnoble,fambgprof,education,edufield,school_name,sec_school_name,Farmer,Business,Worker,Cleric,Politics,Law,Whitecollar,Int_org,InternationalOrganizationname,Diplomat,Dip_post,Dip_country,Mili_edu,Mili_service,Mili_rank,Mili_combat,Combat_war,Mili_injury,Rebel,party,party_name,party_lead,parliament_bg,Former_minister,Former_min_post,Former_gov_office,Former_gov_post,org_connections,organisation,Manner_out,Reason_out,version
2,2001,United States of America,United States of America,Thomas Jefferson,26,9,1789,1,1,1794,Department of State,Secretary of State,1,1,1,1,1,1743,1826,"Albermarle County, Virginia",4,2,3,1,1,4,0806,"College of William and Mary, Williamsburg, Virginia",7777,1,1,1,1,2,2,1,1,9999,2,Minister to France,France,1,1,9999,9999,9999,9999,2,2,Democratic-Republican Party,2,2,1,9999,1,9999,1,9999,1,32,v210301
2,2002,United States of America,United States of America,Edmund Randolph,2,1,1794,9,12,1795,Department of State,Secretary of State,1,1,1,1,1,1753,1813,"Williamsburg, Virginia",2,2,6,1,6,4,08,"College of William and Mary, Williamsburg, Virginia",7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,1,2,aide-de-camp to Washington,7777,Revolutionary War,7777,2,2,Federalist Party,1,2,2,Attorney General,1,9999,1,9999,1,29,v210301
2,2003,United States of America,United States of America,Timothy Pickering,10,12,1795,12,5,1800,Department of State,Secretary of State,1,1,1,1,1,1745,1829,"Salem, Massachusetts",2,2,10,1,4,4,0806,"Harvard College, Massachusetts",7777,1,1,1,1,2,2,2,1,9999,1,9999,9999,7777,2,Adjutant General,7777,Revolutionary War,7777,2,2,Federalist Party,1,1,2,Secretary of War,2,"Postmaster General, Indian commissioner",1,9999,1,23,v210301
2,2005,United States of America,United States of America,John Marshall,13,5,1800,3,3,1801,Department of State,Secretary of State,1,1,1,1,1,1755,1835,"Germantown, Virginia",2,2,10,1,1,4,08,"College of William and Mary, Williamsburg, Virginia",7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,7777,2,Captain,2,Revolutionary War,7777,2,2,Federalist Party,1,2,1,9999,1,9999,1,9999,1,31,v210301
2,2004,United States of America,United States of America,Charles Lee,13,5,1800,5,6,1800,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2007,United States of America,United States of America,James Madison,5,3,1801,3,3,1809,Department of State,Secretary of State,1,1,1,1,1,1751,1836,"Port Conway, Virginia",2,7777,7777,1,1,4,08,College of New Jersey,7777,1,1,1,1,2,1,1,1,9999,1,9999,9999,1,1,9999,9999,9999,1,2,2,Democratic-Republican,2,2,1,9999,1,9999,1,9999,1,11,v210301
2,2006,United States of America,United States of America,Levi Lincoln,5,3,1801,1,5,1801,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2008,United States of America,United States of America,Robert Smith,6,3,1809,1,4,1811,Department of State,Secretary of State,1,1,1,1,1,1757,1842,"Lanncaster, Pennsylvania",2,7777,7777,1,2,4,08,College of New Jersey,7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,7777,2,Private,7777,Revolutionary War,7777,2,2,Democratic-Republican,1,1,2,Secretary of the Navy,1,9999,1,9999,1,25,v210301
2,2009,United States of America,United States of America,James Monroe,2,4,1811,3,3,1817,Department of State,Secretary of State,1,1,1,1,1,1758,1831,"Westmoreland county, Virginia",2,2,3,1,1,4,08,"College of William and Mary, Williamsburg, Virginia",Campbell Academy,1,1,1,1,2,2,1,1,9999,2,Minister Plenipotentiary,"France, United Kingdom",2,2,Lieutenant Colonel,2,Revolutionary War,2,2,2,Democratic-Republican,1,2,1,9999,1,9999,1,9999,1,11,v210301
2,2011,United States of America,United States of America,Richard Rush,10,3,1817,22,9,1817,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,v210301
