cname,year,ccodecow,VDemcode,statagency,census,first_moderncensus,register_based_census,yearbook_published,yearbook_coverage,civreg,popreg,statag_intro,censusgraded_ability,ybcov_ability,infcap_irt,infcap_pca
Afghanistan,1750,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1751,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1752,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1753,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1754,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1755,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1756,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1757,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1758,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1759,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1760,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1761,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1762,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1763,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1764,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1765,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1766,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1767,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1768,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1769,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1770,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1771,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1772,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1773,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1774,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1775,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1776,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1777,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1778,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1779,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1780,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1781,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1782,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1783,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1784,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1785,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1786,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1787,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1788,700,36,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1789,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1790,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1791,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1792,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1793,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1794,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1795,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1796,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
Afghanistan,1797,700,36,0,0,NA,0,0,0,0,0,0,0,0,0,8.139860229916228e-17
