N,Годы,Название,Историческая справка,Страна
775,(AD 1994–),АБХАЗИЯ,"АБХАЗИЯ (AD 1994–) Самопровозглашенное, частично признанное государство, республика (Республика Абхазия). Образовано на части терр. совр.Грузии в результате отделения от Грузии. После российско-грузинской войны 2008 г. Россия признала независимость Абхазии. Столица — Сухум",Грузия
755,(AD 1462–1555),АБХАЗСКОЕ КНЯЖЕСТВО,"АБХАЗСКОЕ КНЯЖЕСТВО (AD 1462–1555) Государство, феодальное, монархическое. Возникло на терр. совр.Грузии в результате распада Грузинского царства. Столица — Сухум. Попало в вассальную зависимость от Османской империинезависимость Абхазии. Столица — Сухум",Грузия
758,(AD 1555–1810),АБХАЗСКОЕ КНЯЖЕСТВО (осм.),"АБХАЗСКОЕ КНЯЖЕСТВО (осм.) (AD 1555–1810) Государство, феодальное, монархическое, вассал Османской империи. Возникло на терр. совр.Грузии в результате попадания Абхазского княжества в вассальную зависимость от Османской империи. Столица — Сухум. Вошло в состав Российской империи",Грузия
749,(AD 786–100),АБХАЗСКОЕ ЦАРСТВО,"АБХАЗСКОЕ ЦАРСТВО (786–1008 AD) Государство, феодальное, монархическое. Зародилось на терр. совр.Грузии в результате отделения от Византийской империи. Вошло в состав Грузинского царства. Столица — Анакопии (Новый Афон), с 806 — Кутаиси",Грузия
714,(AD 1100–1240),АВАРСКОЕ ХАНСТВО,"АВАРСКОЕ ХАНСТВО (AD 1100–1240) Государство, феодальное теократическое, мусульманское. Зародилось на терр. совр.России. Образовано аварами. Завоевано монголами и включено в состав Золотой Орды. Столица — Хунзах",Россия Россия (ЮФО)
369,"(AD 562–623},{658–796)",АВАРСКИЙ КАГАНАТ,"АВАРСКИЙ КАГАНАТ (AD 562–623},{658–796) Государство, феодальное. (Зародилось на терр. совр. Венгрии в результате заселения кочевыми племенами авар части территории Византийской империи},{Завоевано Княжеством Само. Восстановлено в результате победы аваров над Княжеством Само. Уничтожен Франкским Государством)",Австрия Босния и Герцеговина Венгрия Румыния Сербия Словакия Словения Украина Хорватия Чехия
354,(AD 1804–1867),АВСТРИЙСКАЯ ИМПЕРИЯ,"АВСТРИЙСКАЯ ИМПЕРИЯ (AD 1804–1867) Государство, монархическое. Зародилось на терр. совр. Австрии в результате переименовании Габсбургской Империи. Столица — Вена. Преобразовано в Австро-Венгрию.",Австрия Венгрия Германия Италия Польша Румыния Сербия Словакия Словения Украина Хорватия Черногория Чехия
280,(AD 1713–1794),АВСТРИЙСКИЕ НИДЕРЛАНДЫ,"АВСТРИЙСКИЕ НИДЕРЛАНДЫ (AD 1713–1794) Государство, монархическое. Владение Австрийской Империи. Образовалось на терр. совр. Бельгии в результате перехода власти в Испанских Нидерландах к Австрийским Габсбургам. Столица — Брюссель. Присоединено к Франции",Бельгия Германия Люксембург Нидерланды
363,"(AD 1918–1938},{1945–)",АВСТРИЯ,"АВСТРИЯ (AD 1918–1938},{1945–) Государство, капиталистическое, республика (Австрийская Республика). (Зародилось на терр. совр. Австрии в результате распада Австро-Венгрии. Присоединено к Германии (аншлюс},{Освобождено созными войсками и восстановлена независимость). Столица — Вена",Австрия Италия
362,(AD 1867–1918),АВСТРО-ВЕНГРИЯ,"АВСТРО-ВЕНГРИЯ (AD 1867–1918) Государство, монархическое (Австро-Венгерская Империя). Зародилось на терр. совр. Австрии в результате переименовании Австрийской Империи. Столица — Вена. Распалась (На территории бывшей империи возникло несколько новых государств — Чехословакия, Польша, Австрийская республика, Венгрия; остальные регионы вошли в состав Румынии, Югославии и Италии.)","Австрия Албания Босния и Герцеговина Венгрия Италия Польша Россия
Россия (СЗФО) Румыния Сербия Словакия Словения Украина Хорватия Черногория Чехия"
