id,label,year,country,type
UK-1707,Великобритания образована,1707,Великобритания,formation
UK-1776,США отделились,1776,Великобритания,continuation
UK-1858,Индия присоединена,1858,Великобритания,continuation
UK-1867,Канада отделилась,1867,Великобритания,continuation
UK-1901,Австралия отделилась,1901,Великобритания,continuation
UK-1910,Южная Африка отделилась,1910,Великобритания,continuation
UK-2025,Великобритания сейчас,2025,Великобритания,continuation
US-1776,Независимость США,1776,США,independence
IN-1600,Создание Индии,1600,Индия,formation
IN-1858,Присоединение Индии,1858,Индия,annexation
IN-1947,Независимость Индии,1947,Индия,independence
CA-1867,Канада получила самоуправление,1867,Канада,dominion
CA-1931,Полная независимость Канады,1931,Канада,independence
AU-1901,Австралия получила статус доминиона,1901,Австралия,dominion
AU-1942,Австралия закрепляет независимость,1942,Австралия,independence
ZA-1910,Южно-Африканский союз,1910,Южная Африка,dominion
ZA-1961,ЮАР выходит из Содружества,1961,Южная Африка,independence
