name,successor,start,end,region
Терская советская республика,Северо-Кавказская республика,1918,1919,BЕ
У,Китай,222,280,АО
Пасхи остров (Рапануи),Чили,400,1888,АО
Тонга,,800,2025,АО
У,Китай,892,937,АО
Яп,,950,1600,АО
Кауаи,Гавайское королевство,1050,1806,АО
Мауи,Гавайское королевство,1050,1794,АО
Оаху,Кауаи,1050,1783,АО
Гавайи,,1100,1520,АО
Ротума,Великобритания,1200,1870,АО
Рева,Индия,1200,1948,АО
Раротонга,Новая Зеландия,1200,1901,АО
Таити,французская колония Таити,1200,1880,АО
Понпей (Понапе),,1200,1650,АО
Мангарева,французская колония Таити,1300,1881,АО
Раиатеа,французская колония Таити,1300,1888,АО
Хуахине,французская колония Таити,1300,1895,АО
У,Китай,1356,1368,АО
Муакиллоа (Мокил),США,1400,1946,АО
Пингелап,США,1400,1946,АО
Сапуафик (Нгатик),США,1400,1946,АО
Увеа,французская колония Таити,1400,1913,АО
Капингамаранги,Испания,1500,1886,АО
Мангаиа,Новая Зеландия,1500,1901,АО
Борабора,французская колония Таити,1500,1888,АО
Коне,Гавайское королевство,1520,1802,АО
Кохала,Гавайское королевство,1520,1802,АО
Пуна,Гавайское королевство,1520,1802,АО
Хамакуу,Гавайское королевство,1520,1802,АО
Хило,Гавайское королевство,1520,1802,АО
Ало,французская колония Таити,1565,1913,АО
Атафу,Великобритания,1600,1889,АО
Нанумеа,Великобритания,1600,1902,АО
Нукунону,Великобритания,1600,1889,АО
Факаофо,Великобритания,1600,1889,АО
Фунафути,Великобритания,1600,1902,АО
Рапа (Рапа-Ити),Франция,1600,1881,АО
Ниуэ,Новая Зеландия,1650,1917,АО
Китти,США,1650,1946,АО
Мадолениму,США,1650,1946,АО
Нетт,США,1650,1946,АО
Сокес,США,1650,1946,АО
У,США,1650,1946,АО
Папара (Те Тева),Таити,1650,1803,АО
Таутира,Таити,1650,1770,АО
Тефана,Таити,1650,1770,АО
Аттауру,Таити,1680,1770,АО
Паэа,Таити,1680,1770,АО
Пурионуу,Таити,1680,1803,АО
Элмео,Таити,1680,1770,АО
Бутаритари,Великобритания,1700,1892,АО
Айлинглапдап,Германия,1700,1890,АО
Аур и Малоэлап,Германия,1700,1890,АО
Бикини,Германия,1700,1890,АО
Кваджалейн,Германия,1700,1890,АО
Маджуро,Германия,1700,1890,АО
Меджит,Германия,1700,1890,АО
Эбон,Германия,1700,1890,АО
Косрае,США,1700,1946,АО
Риматара,Франция,1700,1901,АО
Таиохаэ,Франция,1700,1901,АО
Тауата,Франция,1700,1880,АО
Тахуата,Франция,1700,1889,АО
Таиарапа,Таити,1710,1790,АО
Корор,Палау,1750,1981,АО
Бау (Мбау),Великобритания,1760,1883,АО
Мбау,Великобритания,1760,1874,АО
Нгати Тивхаретоа,Новая Зеландия,1770,1862,АО
Палау-Бабелдаоб,Палау,1780,1981,АО
Палау-Эвелдаоб,Палау,1780,1981,АО
Рехлаи,Палау,1780,1981,АО
Сигаве,французская колония Таити,1784,1913,АО
Хаапаи,Тонга,1799,1845,АО
Вайкато,Великобритания,1800,1881,АО
Руруту,Франция,1800,1901,АО
Гавайское королевство,Гавайская республика,1806,1893,АО
Мбуа,Великобритания,1810,1871,АО
Какаудрове,Бау,1820,1874,АО
Макуата,Бау,1820,1875,АО
Рева,Бау,1820,1855,АО
Кокосовые острова (Килинг),Австралия,1827,1978,АО
Вива,Бау,1837,1837,АО
Лакеба,Бау,1842,1842,АО
Вуда,Бау,1855,1855,АО
Навуа,Бау,1855,1855,АО
Ракираки,Бау,1855,1855,АО
Кадаву,Лау,1855,1855,АО
Ласакау,Лау,1855,1855,АО
Накоротубу,Лау,1855,1855,АО
Тилива,Лау,1855,1855,АО
Суэйнс,США,1856,1925,АО
Лау,Великобритания,1867,1871,АО
Фиджи,Великобритания,1871,1874,АО
Гавайская республика,США,1893,1898,АО
Австралия,,1901,2025,АО
Новая Зеландия,,1907,2025,АО
Самоа (до 1997 Западное Самоа),,1962,2025,АО
Кука острова,,1965,2025,АО
Науру,,1968,2025,АО
Фиджи,,1970,2025,АО
Ниуэ,,1974,2025,АО
Папуа Новая Гвинея,,1975,2025,АО
Соломоновы Острова,,1978,2025,АО
Тувалу,,1978,2025,АО
Кирибати,,1979,2025,АО
Вануату,,1980,2025,АО
Ротума,Фиджи,1987,1988,АО
Бугенвиль,,1990,2025,АО
Древний Чосон (Кочосон),Китай,-2333,-2333,ВА
Китай (Чжунго),,-2205,2025,ВА
Чжоу,Китай,-2200,-1027,ВА
Шан (Инь),Китай,-2200,-1766,ВА
Тан,Китай,-1600,-1035,ВА
Ли,Китай,-1500,-1350,ВА
Ци,Чу,-1122,-445,ВА
У (Нго),Юэ,-1110,-473,ВА
Лу,Чу,-1065,-249,ВА
Ци,Китай,-1027,-221,ВА
Вэй,Китай,-1025,-109,ВА
Цинь,Китай,-1025,-221,ВА
Чу,Китай,-1025,-223,ВА
Янь,Китай,-1025,-222,ВА
Цай,Чу,-1025,-447,ВА
Чэнь,Чу,-1025,-479,ВА
Сун,Ци,-1024,-282,ВА
Цзинь,,-1023,-376,ВА
Ба (Даси),Цинь,-770,-316,ВА
Се,Китай,-740,-513,ВА
Дэн,Юэ,-665,-415,ВА
Япония,,-660,2025,ВА
Рюкю,Япония,-605,-605,ВА
Юэ,Китай,-520,-222,ВА
Чжао,Китай,-518,-140,ВА
Кария,Македония,-510,-330,ВА
Шаншун (Гугэ),Тибет,-500,644,ВА
Чжоу,Китай,-475,-222,ВА
Вэй,Китай,-424,-225,ВА
Лян,Китай,-424,140,ВА
Хань,Китай,-424,-230,ВА
Чжуншань,Цинь,-414,-296,ВА
Дянь,Айло,-328,50,ВА
Елан,Китай,-300,-111,ВА
Хунну союз,Китай,-300,215,ВА
Ухуань,сьянби,-300,-300,ВА
Цзяоцзи,Китай,-222,-111,ВА
Ци,Китай,-209,-203,ВА
Чжэ,Китай,-209,-206,ВА
Чу,Китай,-209,-202,ВА
Янь,Китай,-209,-202,ВА
Хань,Китай,-208,-202,ВА
Наньюэ,Китай,-207,-111,ВА
Цибэй,Китай,-206,-206,ВА
Гуанлин,Китай,-206,6,ВА
Инь,Китай,-206,-202,ВА
Линцзян,Китай,-206,150,ВА
Линьцзян,Китай,-206,-202,ВА
Тай,Китай,-206,-114,ВА
Хэншань,Китай,-206,-122,ВА
Цзюцзян,Китай,-206,-202,ВА
Чеши,Китай,-206,642,ВА
Чжуншань,Китай,-206,54,ВА
Чанша,Китай,-203,2,ВА
Гуанчуань,Китай,-202,-148,ВА
Миньюэ,Китай,-202,-112,ВА
Цзидун,Китай,-202,-115,ВА
Цзичуань,Китай,-202,-138,ВА
Цзяодун,Китай,-202,37,ВА
Цзяоси,Китай,-202,-164,ВА
Циньхо,Китай,-202,-140,ВА
Чаншань,Китай,-202,-145,ВА
Чжэньян,Китай,-202,26,ВА
Шаньян,Китай,-202,-25,ВА
Хуайнань,Китай,-196,-122,ВА
Хуайян,Китай,-196,-163,ВА
Люань,Китай,-195,32,ВА
Дунхай,Китай,-192,-138,ВА
Дунъюэ,Китай,-192,-107,ВА
Ланье,Китай,-181,140,ВА
Тайюань,Китай,-178,-175,ВА
Хэцзянь,Китай,-178,-140,ВА
"Лоулань (Шаньшань, Черчен)",Китай,-175,520,ВА
Цзинань,Китай,-164,-140,ВА
Цзиинь,Китай,-144,-142,ВА
Ярлунг,Тибет,-127,629,ВА
Хотан (Юйтянь),Караханида,-125,1006,ВА
Байкэ,Китай,-122,225,ВА
Баркуль (Поли),Китай,-121,71,ВА
Чинхан,Сораболь,-100,-57,ВА
Кулэ,Хотан,-100,200,ВА
Пингань,Китай,-91,-56,ВА
Шань,Карашар,-87,-87,ВА
Каракум (Вэйли),Карашар,-87,200,ВА
Корла (Кули),Карашар,-87,200,ВА
Таяби,Ярхото,-87,-70,ВА
"Карашар (Агни, Яньци)",уйгуры,-87,747,ВА
Ярхото,Китай,-74,-74,ВА
Гаоми,Китай,-73,6,ВА
Гуанпин,Китай,-73,6,ВА
Гуанхань,Китай,-73,6,ВА
Гуаньян,Китай,-73,37,ВА
Яркенд (Шачэ),уйгуры,-70,745,ВА
Цзиньчэн,Китай,-60,-60,ВА
Гуйсу,Китай,-60,200,ВА
Шанцзюнь,Китай,-60,111,ВА
Силла,Корея,-57,935,ВА
Динтао,Китай,-52,24,ВА
Дунпин,Китай,-52,140,ВА
"Цзыхэ (Сие, Чжуцзюйбо)",уйгуры,-50,720,ВА
Цзинцзюэ,Лоулань,-40,-40,ВА
Шаовань,Лоулань,-40,-40,ВА
Утанцили,Ярхото,-40,-40,ВА
Хоху,Ярхото,-40,-40,ВА
Юлиши,Ярхото,-40,-40,ВА
Когурё,Китай,-37,668,ВА
Синьду,Китай,-35,6,ВА
Аньдин,Китай,-29,111,ВА
Жунлу (Ronglu),Хотан,-25,200,ВА
Уч-Турфан (Вэньсу),Акс,-23,78,ВА
Вэньсу,Китай,-23,78,ВА
Унсок (Вэньсуо),Куча,-23,-23,ВА
Утток (Вэйтоу),Куча,-23,-23,ВА
Пэкче,Китай,-18,660,ВА
Ёсии (Yoshii),Япония,0,0,ВА
Имабари,Япония,0,0,ВА
Каибара,Япония,0,0,ВА
Маэбаси,Япония,0,0,ВА
Михара,Япония,0,0,ВА
Михару,Япония,0,0,ВА
Нагасима,Япония,0,0,ВА
Сунпу,Япония,0,0,ВА
Танба-Камэяма,Япония,0,0,ВА
Татэбаяси,Япония,0,0,ВА
Татэяма,Япония,0,0,ВА
Тэндо,Япония,0,0,ВА
Бэйхай,Китай,2,140,ВА
Аксу,Китай,10,125,ВА
Цзюнгу,Китай,19,38,ВА
Пинчжэн,Хотан,25,200,ВА
Пишана,Хотан,25,200,ВА
Уби,Хотан,25,200,ВА
Чжэнло,Хотан,25,200,ВА
Пэй,Китай,44,140,ВА
Куча (Гуйцэ),уйгуры,46,747,ВА
Айло (Айлао),Наньчжао,47,649,ВА
Фулин,Китай,73,89,ВА
Кашгар (Шулэ),уйгуры,73,747,ВА
Тоба союз,Тоба Вэй,80,385,ВА
Гуса,Кашгар,107,200,ВА
Ичжо,Кашгар,107,200,ВА
Поли (Були),Кашгар,107,200,ВА
Сиджа,Кашгар,107,200,ВА
Сицзя,Кашгар,107,200,ВА
Хусю,Кашгар,107,200,ВА
Цзулин,Кашгар,107,200,ВА
Цзюаньду,Кашгар,107,200,ВА
Чжэньчжун,Кашгар,107,200,ВА
Цзяньвэй,Китай,107,140,ВА
Гуанхань,Китай,125,140,ВА
Ляоси,сьянби,140,238,ВА
Яматай,Япония,150,300,ВА
Ляодун,сьянби,160,333,ВА
Лунси,Китай,184,503,ВА
Качи (Катсик),Кашгар,200,750,ВА
Ицзу,Наньчжао,200,649,ВА
Цзеши (Каси),уйгуры,200,750,ВА
Вэй,Китай,201,265,ВА
Вэй,Китай,220,265,ВА
Шу,Китай,221,263,ВА
Западное Цзинь,племена ди,265,316,ВА
Тогон (Туюхунь),Китай,284,798,ВА
Раннее Хань,Ранний Чжао,304,318,ВА
Раннее Чжао,Поздний Чжао,318,329,ВА
Позднее Чжао,Ранний Янь,319,352,ВА
Раннее Янь,Ранний Цинь,337,370,ВА
Жужаньский каганат,тюрки,355,555,ВА
Позднее Лян,Поздний Цинь,385,403,ВА
Западное Цинь,Ся,385,431,ВА
Западное Янь,Поздний Янь,386,394,ВА
Тоба Вэй,,386,535,ВА
Турфан (Гаочан),Китай,397,640,ВА
Северное Лян,Тоба Вэй,397,439,ВА
Северное Янь,Тоба Вэй,409,436,ВА
Ара-Кая,Силла,420,532,ВА
Сонсан-Кая,Силла,420,532,ВА
Уйгурский каганат,кыргызы,470,840,ВА
Ци,Лянь,479,502,ВА
Лян,Чэнь,502,557,ВА
Ци,Тоба Вэй,526,528,ВА
Бэйчжоу,Китай,557,581,ВА
Северное Чжоу,Китай,557,581,ВА
Чэнь,Поздняя Лянь,557,589,ВА
Дэнкуанцзю,Наньчжао,600,730,ВА
Ланцзюн (Цзяньчуань),Наньчжао,600,730,ВА
Мэнсуй,Наньчжао,600,730,ВА
Мэнше,Наньчжао,600,730,ВА
Юэси,Наньчжао,600,730,ВА
Муцу,Япония,600,1189,ВА
Сеяньто,Китай,605,648,ВА
Шато союз,Китай,605,926,ВА
Джарон (Сумпа),Тибет,610,750,ВА
Чанлэ,Китай,611,621,ВА
Чу,Китай,616,622,ВА
Вэй,Китай,617,620,ВА
Диньян,Китай,617,622,ВА
Лян,Китай,617,621,ВА
Дунду,Китай,618,621,ВА
Ся,Китай,618,621,ВА
Кумоси,Китай,620,775,ВА
Наси (Мосо),Китай,620,1950,ВА
Ханьдун,Китай,621,623,ВА
Лючжао,Наньчжао,629,730,ВА
Тибетское царство,,629,842,ВА
Наньчжао (Дали),Китай,649,1253,ВА
Минаньфу,Наньчжао,650,730,ВА
Фудзивара,Япония,671,1237,ВА
Цзинбянь,Китай,687,1004,ВА
Бохай (Пархэ),киданы,698,926,ВА
Хуан,,700,850,ВА
Цзянькуньцзю,Наньчжао,730,820,ВА
Басмильский каганат,уйгуры,742,744,ВА
Дэге,Тибет,750,1910,ВА
Да Янь,Китай,756,763,ВА
Да Чунь,Китай,784,786,ВА
Ганьчжоу,Си Ся,841,1028,ВА
Лхаса,,842,990,ВА
Нгари (Нариг),Балтистан,843,980,ВА
Кучар,Кочо,847,870,ВА
Гуйи (Дуньхуан),Китай,848,1131,ВА
Кочо,Могулистан,867,1368,ВА
Уюэ,Китай,893,978,ВА
Минь (Инь),Южный Тан,893,945,ВА
Чжурчжэней союз,Китай,900,1113,ВА
Позднее Пэкче,Корея,900,936,ВА
Хонгиратов союз,Монгольская империя,900,1206,ВА
Позднее Когурё ,Корея,901,918,ВА
Ци,Поздняя Тан,901,924,ВА
Юэ,Китай,902,978,ВА
Тхэбон (Маджин),Корея,904,918,ВА
Южное Хань,Китай,905,971,ВА
Наньпин (Цзинань),Китай,907,963,ВА
Шу,Китай,907,965,ВА
Южное Минь,Южный Тан,907,946,ВА
Чжао,Китай,916,921,ВА
Ляо (Кидань),Чжурчжэни,916,1124,ВА
Корея (Чосон),Япония,918,1910,ВА
Ярлунг,Сакья,923,1310,ВА
Южное Пин,Китай,925,963,ВА
Южное Тан,Китай,927,976,ВА
Позднее Цзинь,Китай,936,947,ВА
Канто,Япония,942,1192,ВА
Амдо,монголы,942,1250,ВА
Позднее Чжоу,Китай,951,960,ВА
Северное Хань,Китай,951,979,ВА
Гугэ,Ладакх,960,1683,ВА
Цзанчжун,Тибет,960,1240,ВА
Нун,Китай,970,1053,ВА
Западное Ся (Си Ся),Монгольская империя,982,1227,ВА
Кано,Нигерия,998,1960,ВА
Кереитское ханство,Монгольское ханство,1000,1204,ВА
Найманов союз,Монгольское ханство,1000,1208,ВА
Хунчжан,Китай,1008,1131,ВА
Аньян,Китай,1047,1948,ВА
Тайчиутов союз,Монгольская империя,1050,1206,ВА
Джаджиратов ханство,Монгольское ханство,1050,1204,ВА
